Movie Title,Release Date,Budget ($),Box Office Revenue ($)
Here Comes the Boom,2012-10-12,"$42,000,000.00","$73,100,000.00"
Hit and Run,2012-08-22,"$2,000,000.00","$14,500,000.00"
Hitman: Agent 47,2015-08-21,"$35,000,000.00","$82,300,000.00"
Home,2015-03-07,"$135,000,000.00","$386,000,000.00"
Hope Springs,2012-08-08,"$30,000,000.00","$114,300,000.00"
Horrible Bosses 2,2014-11-26,"$57,000,000.00","$107,700,000.00"
Hot Pursuit,2015-05-08,"$35,000,000.00","$51,700,000.00"
Hotel Transylvania,2012-09-28,"$85,000,000.00","$358,400,000.00"
Hotel Transylvania 2,2015-09-25,"$80,000,000.00","$473,000,000.00"
How to Train Your Dragon 2,2014-05-16,"$145,000,000.00","$621,500,000.00"
I,2015-01-14,"$15,000,000.00","$65,000,000.00"
I Saw the Light,2015-09-11,"$13,000,000.00","$2,600,000.00"
Ice Age: Collision Course,2016-07-22,"$105,000,000.00","$368,300,000.00"
Ice Age: Continental Drift,2012-07-13,"$95,000,000.00","$877,000,000.00"
Identity Thief,2013-02-08,"$35,000,000.00","$174,000,000.00"
If I Stay,2014-08-18,"$11,000,000.00","$78,900,000.00"
In the Heart of the Sea,2015-12-11,"$100,000,000.00","$93,900,000.00"
Independence Day: Resurgence,2016-06-20,"$165,000,000.00","$382,300,000.00"
Insidious: Chapter 2,2013-09-13,"$5,000,000.00","$161,900,000.00"
Insidious: Chapter 3,2015-06-05,"$11,000,000.00","$113,000,000.00"
Interstellar,2014-10-26,"$165,000,000.00","$675,100,000.00"
Into the Storm,2014-08-08,"$50,000,000.00","$161,700,000.00"
Iron Sky,2012-07-25,"$7,500,000.00","$8,100,000.00"
Irrational Man,2015-05-16,"$11,000,000.00","$27,400,000.00"
Jack Reacher,2012-12-21,"$60,000,000.00","$218,300,000.00"
Jack Ryan: Shadow Recruit,2014-01-15,"$60,000,000.00","$135,500,000.00"
Jane Got a Gun,2016-01-29,"$25,000,000.00","$3,000,000.00"
Jason Bourne,2016-07-29,"$120,000,000.00","$347,900,000.00"
"Jeff, Who Lives at Home",2012-03-16,"$7,500,000.00","$7,500,000.00"
Jem and the Holograms,2015-10-23,"$5,000,000.00","$2,300,000.00"
Jersey Boys,2014-06-05,"$58,600,000.00","$67,700,000.00"
Jobs,2013-08-16,"$12,000,000.00","$35,900,000.00"
John Wick,2014-10-13,"$20,000,000.00","$86,000,000.00"
Journey 2: The Mysterious Island,2012-02-10,"$79,000,000.00","$335,300,000.00"
Joy,2015-12-25,"$60,000,000.00","$101,100,000.00"
Keanu,2016-04-29,"$15,000,000.00","$20,700,000.00"
Kill the Messenger,2014-10-10,"$5,000,000.00","$2,500,000.00"
Killing Them Softly,2012-11-30,"$15,000,000.00","$37,900,000.00"
Kingsman: The Secret Service,2014-12-13,"$94,000,000.00","$414,400,000.00"
Krampus,2015-12-04,"$15,000,000.00","$61,500,000.00"
Kubo and the Two Strings,2016-08-19,"$60,000,000.00","$27,600,000.00"
Kung Fu Panda 3,2016-01-23,"$145,000,000.00","$519,900,000.00"
Lazer Team,2016-01-27,"$2,400,000.00","$1,600,000.00"
Left Behind,2014-10-03,"$16,000,000.00","$27,600,000.00"
Les Misérables,2012-12-25,"$61,000,000.00","$441,800,000.00"
Let's Be Cops,2014-08-13,"$17,000,000.00","$138,200,000.00"
Life of Pi,2012-11-21,"$120,000,000.00","$609,000,000.00"
Lights Out,2016-07-22,"$4,900,000.00","$125,900,000.00"
Lincoln,2012-11-09,"$65,000,000.00","$275,300,000.00"
Little Boy,2015-04-24,"$20,000,000.00","$17,500,000.00"
Lockout,2012-04-13,"$20,000,000.00","$32,200,000.00"
London Has Fallen,2016-03-04,"$60,000,000.00","$195,700,000.00"
Looper,2012-09-28,"$30,000,000.00","$176,500,000.00"
Love the Coopers,2015-11-04,"$24,000,000.00","$41,100,000.00"
Lucy,2014-07-25,"$40,000,000.00","$463,400,000.00"
Mad Max: Fury Road,2015-05-07,"$150,000,000.00","$378,400,000.00"
Madagascar 3: Europe's Most Wanted,2012-06-08,"$145,000,000.00","$746,900,000.00"
Magic in the Moonlight,2014-07-25,"$16,800,000.00","$51,000,000.00"
Mama,2013-01-18,"$15,000,000.00","$146,400,000.00"
Man of Steel,2013-06-14,"$225,000,000.00","$668,000,000.00"
Man on a Ledge,2012-01-27,"$42,000,000.00","$46,200,000.00"
Max,2015-06-26,"$20,000,000.00","$44,000,000.00"
Maze Runner: The Scorch Trials,2015-09-18,"$61,000,000.00","$312,300,000.00"
Me and Earl and the Dying Girl,2015-01-25,"$8,000,000.00","$9,100,000.00"
Me Before You,2016-06-03,"$20,000,000.00","$196,200,000.00"
Mechanic: Resurrection,2016-08-26,"$40,000,000.00","$7,500,000.00"
Men in Black 3,2012-05-25,"$215,000,000.00","$624,000,000.00"
Midnight Special,2016-02-12,"$18,000,000.00","$6,200,000.00"
Miracles from Heaven,2016-03-16,"$13,000,000.00","$73,600,000.00"
Mirror Mirror,2012-03-30,"$85,000,000.00","$183,000,000.00"
Mission: Impossible – Rogue Nation,2015-07-23,"$150,000,000.00","$682,300,000.00"
Moms' Night Out,2014-05-09,"$5,000,000.00","$10,500,000.00"
Money Monster,2016-05-13,"$27,000,000.00","$93,100,000.00"
Monster Hunt,2016-01-22,"$56,000,000.00","$385,200,000.00"
Moonrise Kingdom ₪,2012-05-25,"$16,000,000.00","$68,300,000.00"
Mortdecai,2015-01-23,"$60,000,000.00","$47,000,000.00"
Mother's Day,2016-04-13,"$25,000,000.00","$43,800,000.00"
Mr. Peabody & Sherman,2014-02-07,"$145,000,000.00","$275,700,000.00"
Mud,2013-04-26,"$10,000,000.00","$32,600,000.00"
Mustang,2015-05-19,"$1,300,000.00","$4,900,000.00"
My All American,2015-11-13,"$20,000,000.00","$2,200,000.00"
My Big Fat Greek Wedding 2,2016-03-25,"$18,000,000.00","$88,900,000.00"
Need for Speed,2014-03-12,"$65,000,000.00","$203,300,000.00"
Neighbors,2014-03-08,"$18,000,000.00","$270,700,000.00"
Neighbors 2: Sorority Rising,2016-05-20,"$35,000,000.00","$107,900,000.00"
Nerve,2016-07-27,"$20,000,000.00","$47,600,000.00"
Night at the Museum: Secret of the Tomb,2014-12-11,"$127,000,000.00","$363,200,000.00"
Nightcrawler,2014-09-05,"$8,500,000.00","$50,300,000.00"
Nine Lives,2016-08-05,"$30,000,000.00","$19,100,000.00"
No Escape,2015-08-17,"$5,000,000.00","$54,400,000.00"
No Good Deed,2014-09-12,"$13,200,000.00","$54,300,000.00"
No One Lives,2013-05-10,"$2,900,000.00","$1,000,000.00"
Noah,2014-03-10,"$125,000,000.00","$362,600,000.00"
Non-Stop,2014-01-27,"$50,000,000.00","$222,800,000.00"
Now You See Me,2013-05-31,"$75,000,000.00","$351,700,000.00"
Now You See Me 2,2016-06-06,"$90,000,000.00","$320,900,000.00"
Oblivion,2013-04-10,"$120,000,000.00","$286,200,000.00"
Olympus Has Fallen,2013-03-22,"$70,000,000.00","$161,000,000.00"
One Direction: This Is Us,2013-08-29,"$10,000,000.00","$68,500,000.00"
One for the Money,2012-01-27,"$40,000,000.00","$36,900,000.00"
Ouija,2014-10-24,"$5,000,000.00","$103,600,000.00"
Our Brand Is Crisis,2015-09-11,"$28,000,000.00","$8,600,000.00"
Pacific Rim,2013-07-12,"$190,000,000.00","$411,000,000.00"
Pain & Gain,2013-04-26,"$26,000,000.00","$86,200,000.00"
Pan,2015-09-30,"$150,000,000.00","$128,400,000.00"
Paper Towns,2015-07-24,"$12,000,000.00","$85,500,000.00"
Paranormal Activity 4,2012-10-19,"$5,000,000.00","$142,800,000.00"
Paranormal Activity: The Ghost Dimension,2015-10-23,"$10,000,000.00","$78,100,000.00"
ParaNorman,2012-08-17,"$60,000,000.00","$107,100,000.00"
Parental Guidance,2012-12-25,"$25,000,000.00","$119,800,000.00"
Parker,2013-01-25,"$35,000,000.00","$48,500,000.00"
Paul Blart: Mall Cop 2,2015-04-17,"$40,000,000.00","$107,600,000.00"
Pawn Sacrifice,2015-09-11,"$19,000,000.00","$5,400,000.00"
Penguins of Madagascar,2014-11-14,"$132,000,000.00","$373,000,000.00"
People Like Us,2012-06-29,"$16,000,000.00","$12,400,000.00"
Percy Jackson: Sea of Monsters,2013-08-07,"$90,000,000.00","$202,200,000.00"
Pitch Perfect,2012-10-05,"$17,000,000.00","$115,400,000.00"
Pitch Perfect 2,2015-04-20,"$29,000,000.00","$287,100,000.00"
Pixels,2015-07-24,"$129,000,000.00","$244,900,000.00"
Point Break,2015-12-25,"$105,000,000.00","$133,700,000.00"
Polis Evo,2015-09-17,"$2,400,000.00","$17,300,000.00"
Poltergeist,2015-05-22,"$35,000,000.00","$95,400,000.00"
Pompeii,2014-02-18,"$80,000,000.00","$117,800,000.00"
Popstar: Never Stop Never Stopping,2016-06-03,"$20,000,000.00","$9,500,000.00"
Premium Rush,2012-08-24,"$35,000,000.00","$31,100,000.00"
Pride and Prejudice and Zombies,2016-02-05,"$28,000,000.00","$16,400,000.00"
Prisoners,2013-09-20,"$46,000,000.00","$122,100,000.00"
Project Almanac,2015-01-30,"$12,000,000.00","$33,200,000.00"
Project X,2012-03-02,"$12,000,000.00","$102,700,000.00"
Prometheus,2012-06-08,"$130,000,000.00","$403,400,000.00"
Promised Land,2012-12-28,"$15,000,000.00","$8,100,000.00"
R.I.P.D.,2013-07-19,"$130,000,000.00","$78,300,000.00"
Race,2016-02-19,"$5,000,000.00","$23,500,000.00"
Raiders of the Lost Ark: The IMAX Experience,2012-09-07,"$18,000,000.00","$389,900,000.00"
Rams,2015-05-15,"$1,750,000.00","$1,740,000.00"
Ratchet & Clank,2016-04-29,"$20,000,000.00","$12,800,000.00"
RED 2,2013-07-19,"$84,000,000.00","$148,100,000.00"
Red Dawn,2012-11-21,"$65,000,000.00","$48,100,000.00"
Red Tails,2012-01-20,"$58,000,000.00","$50,400,000.00"
Resident Evil: Retribution,2012-09-14,"$65,000,000.00","$240,200,000.00"
Ricki and the Flash,2015-08-07,"$18,000,000.00","$41,300,000.00"
Riddick,2013-09-06,"$40,000,000.00","$100,300,000.00"
Ride Along,2014-01-17,"$25,000,000.00","$154,500,000.00"
Ride Along 2,2016-01-15,"$40,000,000.00","$124,200,000.00"
Rio 2,2014-03-20,"$103,000,000.00","$500,100,000.00"
Rise of the Guardians,2012-11-21,"$145,000,000.00","$306,900,000.00"
Risen,2016-02-19,"$20,000,000.00","$46,100,000.00"
RoboCop,2014-01-30,"$100,000,000.00","$242,700,000.00"
Robot & Frank,2012-08-17,"$2,500,000.00","$4,900,000.00"
Rock of Ages,2012-06-15,"$75,000,000.00","$59,400,000.00"
Rock the Kasbah,2015-10-22,"$15,000,000.00","$3,400,000.00"
Romeo and Juliet,2013-07-26,"$15,000,000.00","$3,000,000.00"
Room,2015-09-04,"$13,000,000.00","$36,000,000.00"
Run All Night,2015-03-13,"$61,600,000.00","$71,700,000.00"
"Runner, Runner",2013-09-27,"$30,000,000.00","$30,000,000.00"
Rush,2013-09-20,"$38,000,000.00","$90,200,000.00"
Sabotage,2014-03-19,"$35,000,000.00","$17,500,000.00"
Safe House,2012-02-10,"$85,000,000.00","$208,100,000.00"
Salmon Fishing in the Yemen,2012-03-09,"$14,400,000.00","$34,600,000.00"
Savages,2012-07-06,"$45,000,000.00","$83,000,000.00"
Scary Movie 5,2013-04-12,"$20,000,000.00","$78,400,000.00"
Secret in Their Eyes,2015-11-20,"$19,500,000.00","$32,200,000.00"
Self/less,2015-07-10,"$26,000,000.00","$30,500,000.00"
Selma,2014-12-25,"$20,000,000.00","$66,800,000.00"
Seventh Son,2014-12-17,"$95,000,000.00","$114,200,000.00"
Shaun the Sheep Movie,2015-01-24,"$25,000,000.00","$106,000,000.00"
Sicario,2015-05-19,"$30,000,000.00","$84,900,000.00"
Side Effects,2013-02-08,"$30,000,000.00","$66,700,000.00"
Silent Hill: Revelation 3D,2012-10-26,"$20,000,000.00","$52,300,000.00"
Silver Linings Playbook,2012-11-16,"$21,000,000.00","$236,400,000.00"
Sin City: A Dame to Kill For,2014-08-19,"$65,000,000.00","$39,400,000.00"
Sinister,2012-10-12,"$3,000,000.00","$77,700,000.00"
Sinister 2,2015-08-21,"$10,000,000.00","$52,900,000.00"
Sisters,2015-12-18,"$30,000,000.00","$105,000,000.00"
Snitch,2013-02-22,"$15,000,000.00","$57,800,000.00"
Snow White and the Huntsman,2012-06-01,"$170,000,000.00","$396,600,000.00"
Son of God,2014-02-28,"$22,000,000.00","$67,800,000.00"
Son of Saul,2015-05-15,"$1,500,000.00","$6,200,000.00"
Southpaw,2015-06-15,"$30,000,000.00","$92,000,000.00"
Spotlight,2015-09-03,"$20,000,000.00","$88,300,000.00"
Spy,2015-05-15,"$65,000,000.00","$235,700,000.00"
